rank,name, interantional , movies , average 
345,Emile Sherman,487659259.00,18.00,27092181.00
346,Brian Goldner,486793031.00,7.00,69541862.00
347,Alan Riche,486345245.00,6.00,81057541.00
348,Jake Kasdan,486077862.00,3.00,162025954.00
349,Pam Marsden,484956484.00,3.00,161652161.00
350,Damon Lindelof,482021917.00,4.00,120505479.00
351,Alex Young,480792404.00,4.00,120198101.00
352,Richard Sakai,480500378.00,7.00,68642911.00
353,Huang Jianxin,478575854.00,4.00,119643964.00
354,Letty Aronson,476059546.00,10.00,47605955.00
355,Jerry Ye,475273116.00,5.00,95054623.00
356,Bradley J. Fischer,474997734.00,9.00,52777526.00
357,Sydney Pollack,473480132.00,7.00,67640019.00
358,Donna Gigliotti,470850451.00,8.00,58856306.00
359,Duncan Kenworthy,469598018.00,4.00,117399505.00
360,John Rickard,468351133.00,8.00,58543892.00
361,Bruce Cohen,468338396.00,11.00,42576218.00
362,Christopher Miller,467909170.00,9.00,51989908.00
363,Phil Lord,467909170.00,8.00,58488646.00
364,Peter Farrelly,467364326.00,8.00,58420541.00
365,Raymond Wong,464950175.00,7.00,66421454.00
366,Bonnie Curtis,462153732.00,10.00,46215373.00
367,Leonardo DiCaprio,459633034.00,12.00,38302753.00
368,Scott Mednick,457076773.00,4.00,114269193.00
369,Lloyd Levin,456768908.00,8.00,57096114.00
370,Tripp Vinson,454655719.00,13.00,34973517.00
371,Erik Feig,453096670.00,10.00,45309667.00
372,Hao Ning,451176640.00,1.00,451176640.00
373,Cathy Konrad,449424565.00,9.00,49936063.00
374,Dan Farah,449272126.00,4.00,112318032.00
375,Arthur Sarkissian,448224449.00,7.00,64032064.00
376,David Valdes,448013066.00,8.00,56001633.00
377,Jeff Kirschenbaum,445031216.00,3.00,148343739.00
378,Barry Josephson,444972011.00,7.00,63567430.00
379,Tony Ludwig,444610742.00,5.00,88922148.00
380,Gail Katz,441507383.00,6.00,73584564.00
381,Nancy Juvonen,437909240.00,8.00,54738655.00
382,Nansun Shi,436880411.00,4.00,109220103.00
383,Brett Ratner,430945168.00,12.00,35912097.00
384,Kevin Reher,430937008.00,2.00,215468504.00
385,Brad Grey,430626743.00,4.00,107656686.00
386,Stephen Tenenbaum,430482001.00,8.00,53810250.00
387,Stuart Cornfeld,430308986.00,15.00,28687266.00
388,Geoff Johns,426920914.00,2.00,213460457.00
389,Siddharth Roy Kapur,426849772.00,21.00,20326180.00
390,Aditya Sood,426837780.00,1.00,426837780.00
391,Gary Foster,426714894.00,10.00,42671489.00
392,Angelina Jolie,426530050.00,5.00,85306010.00
393,Michael Crichton,425296526.00,4.00,106324132.00
394,Susanna Tsang,424692516.00,3.00,141564172.00
395,Grant Hill,424145276.00,9.00,47127253.00
396,Alfonso Cuarón,423653126.00,3.00,141217709.00
397,Michael Tadross,423542515.00,9.00,47060279.00
398,Pouya Shahbazian,422445141.00,9.00,46938349.00
399,Buzz Feitshans,422150155.00,5.00,84430031.00
400,Ben Smith,421127446.00,3.00,140375815.00
401,Andrew Kosove,420875258.00,9.00,46763918.00
402,Bill Gerber,419206838.00,8.00,52400855.00
403,Quji Xiaojiang,416947720.00,1.00,416947720.00
404,Xu Zhiyong,416947720.00,1.00,416947720.00
405,Huang Xiang,416947720.00,1.00,416947720.00
406,Jiang Defu,416947720.00,1.00,416947720.00
407,Chris Clark,413590518.00,8.00,51698815.00
408,James Jacks,412743389.00,4.00,103185847.00
409,Sherry Lansing,411440248.00,3.00,137146749.00
410,Wolfgang Petersen,410604944.00,3.00,136868315.00
411,James W. Skotchdopole,410174904.00,2.00,205087452.00
412,Eric Newman,407704329.00,11.00,37064030.00
413,Kevin Misher,407579070.00,14.00,29112791.00
414,Joe M. Aguilar,405726973.00,2.00,202863487.00
415,Latifa Ouaou,405726973.00,1.00,405726973.00
416,Jimmy Miller,405319672.00,13.00,31178436.00
417,Craig Perry,404433539.00,4.00,101108385.00
418,Jackie Chan,404289809.00,8.00,50536226.00
419,Belle Avery,401910550.00,2.00,200955275.00
420,Warren Zide,399897846.00,5.00,79979569.00
421,Tsui Hark,398395859.00,6.00,66399310.00
422,Will Gluck,396217120.00,8.00,49527140.00
423,Jon Turteltaub,395682711.00,3.00,131894237.00
424,Gerard Butler,395438601.00,13.00,30418354.00
425,Alan Siegel,394667301.00,11.00,35878846.00
426,Ben Stiller,394260800.00,13.00,30327754.00
