,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count
237,"[16, 35, 10751]",54559,en,Minions: Orientation Day,8.052999999999999,2010-12-13,Minions: Orientation Day,6.9,117
238,"[16, 28, 878]",30675,en,Planet Hulk,8.052999999999999,2010-02-02,Planet Hulk,6.7,185
239,"[18, 53]",44982,en,13,8.007,2010-03-12,13,5.7,392
240,"[27, 878]",29426,en,Survival of the Dead,7.9639999999999995,2010-05-28,Survival of the Dead,4.8,199
241,[18],53399,it,La solitudine dei numeri primi,7.959,2010-10-10,The Solitude of Prime Numbers,5.8,218
242,"[18, 28, 53]",34179,zh,錦衣衛,7.9479999999999995,2010-02-04,14 Blades,6.6,87
243,"[10751, 16]",44874,en,Barbie: A Fashion Fairytale,7.947,2010-09-14,Barbie: A Fashion Fairytale,6.8,228
244,"[27, 35, 878, 53, 10770, 28]",46020,en,Sharktopus,7.943,2010-09-25,Sharktopus,4.4,69
245,"[18, 27, 53]",39957,en,Burning Bright,7.938,2010-08-17,Burning Bright,6.0,113
246,"[18, 14]",44603,en,Hereafter,7.886,2010-10-22,Hereafter,5.9,848
247,"[18, 9648, 53, 80, 10749]",46503,en,All Good Things,7.871,2010-12-03,All Good Things,6.0,493
248,"[18, 28, 35, 80]",34769,en,Defendor,7.8629999999999995,2010-02-26,Defendor,6.4,295
249,"[27, 28, 53, 878]",74471,en,The Dead,7.841,2010-10-07,The Dead,5.7,89
250,"[16, 10751]",40619,en,Day & Night,7.835,2010-06-17,Day & Night,7.7,438
251,"[28, 35, 80]",44425,hi,दबंग्ग,7.831,2010-09-10,Dabangg,6.2,73
252,"[53, 9648]",11439,en,The Ghost Writer,7.829,2010-02-12,The Ghost Writer,6.8,1135
253,"[18, 28, 53]",12645,en,Inhale,7.8260000000000005,2010-10-01,Inhale,6.1,63
254,[35],35025,fr,Le Mac,7.825,2010-02-16,Le Mac,5.7,144
255,"[18, 53]",8999,en,Derailed,7.814,2005-11-11,Derailed,6.2,500
256,"[35, 10749]",34016,en,She's Out of My League,7.775,2010-03-12,She's Out of My League,6.1,970
257,[27],26466,en,Triangle,7.761,2010-02-02,Triangle,6.8,1094
258,"[18, 35]",39356,en,Boy,7.7589999999999995,2012-03-02,Boy,7.5,149
259,[35],44269,fr,Tout ce qui Brille,7.756,2010-12-03,All That Glitters,6.4,456
260,"[35, 10749, 18]",41210,en,The Switch,7.745,2010-08-20,The Switch,6.1,1008
261,"[35, 18, 10749]",39053,en,Cyrus,7.735,2010-06-18,Cyrus,6.0,201
262,"[35, 10749]",136294,fr,"L'Amour, c'est mieux à deux",7.7010000000000005,2010-06-29,The Perfect Date,5.6,118
263,"[28, 53, 80, 18]",15362,fr,L'ennemi public n°1,7.7,2010-09-03,Mesrine: Public Enemy #1,7.4,404
264,[35],41382,en,Lottery Ticket,7.699,2010-08-20,Lottery Ticket,5.7,92
265,[18],45958,es,Biutiful,7.697,2010-12-28,Biutiful,7.2,546
266,"[28, 12, 18, 36, 10752]",8349,de,Der rote Baron,7.676,2010-02-11,The Red Baron,6.5,111
267,"[35, 18, 10749]",41556,en,The Romantics,7.676,2010-09-10,The Romantics,4.9,145
268,"[28, 12, 35]",37931,en,MacGruber,7.666,2010-05-21,MacGruber,5.3,270
269,"[27, 9648, 53]",46441,en,Mirrors 2,7.662999999999999,2010-10-19,Mirrors 2,5.5,182
270,"[27, 53, 9648]",19237,en,Kill Theory,7.662999999999999,2010-01-29,Kill Theory,5.3,58
271,"[36, 28]",44092,zh,剑雨,7.621,2010-09-01,Reign of Assassins,6.8,87
272,"[18, 10749]",26022,hi,My Name Is Khan,7.619,2010-02-12,My Name Is Khan,7.8,409
273,"[18, 28]",73211,no,Kongen av Bastøy,7.6160000000000005,2010-12-20,King of Devil's Island,7.3,96
274,"[28, 35, 12]",35138,zh,大兵小将,7.607,2010-02-14,Little Big Soldier,6.8,123
